task;type;question_cz;question_en;image_name;difficulty;a1_value;a1_unit;a1_correct;a2_value;a2_unit;a2_correct;a3_value;a3_unit;a3_correct;
mass_c;compare;Co je těžší?;Which is heavier?;;0,2;3;lb;true;1;kg;false;;;;
mass_c;compare;Co je těžší?;Which is heavier?;;0,3;1;lb;false;20;oz;true;500;g;false;
mass_c;compare;Co je těžší?;Which is heavier?;;0,2;2;lb;false;1000;g;true;;;;
mass_c;compare;Co je těžší?;Which is heavier?;;0,4;2000;lb;false;1;t;true;100;kg;false;
mass_c;compare;Co je těžší?;Which is heavier?;;0,5;16;lb;true;1;oz;false;5;kg;false;
mass_c;compare;Co je těžší?;Which is heavier?;;0,5;10;lb;false;100;oz;false;5000;g;true;
mass_c;compare;Co je těžší?;Which is heavier?;;0,1;30;g;true;1;oz;false;1;kg;false;
mass_c;compare;Co je těžší?;Which is heavier?;;0,2;10;oz;true;200;g;false;;;;
;;;;;;;;;;;;;;;
area;estimate_area;Trafalgarského náměstí;Trafalgar Square;monument;0,2;1000;m2;false;1;ha;true;1;km2;false;has an area of about
area;estimate_area;Trafalgarského náměstí;Trafalgar Square;monument;0,4;12000;yd2;true;24000;ft2;false;2;mi2;false;
area;estimate_area;fotbalového hřiště;Football pitch;field;0,3;0,7;ha;true;0,5;ha;false;1;ha;false;
area;estimate_area;Olympijského plaveckého bazénu;Olympic-size swimming pool;;0,3;1;ha;false;500;m2;false;1250;m2;true;
area;estimate_area;Olympijského plaveckého bazénu;Olympic-size swimming pool;;0,3;3000;ft2;false;1450;yd2;true;100;ft2;false;
area;estimate_area;tenisového hřiště;Tennis court;;0,3;195;m2;true;56;m2;false;1;km2;false;
area;estimate_area;tenisového hřiště;Tennis court;;0,3;1000;yd2;false;2200;ft2;true;8400;ft2;false;
area;estimate_area;ostrova Manhattan v New Yorku;Manhattan (NYC);city;0,2;60;km2;true;1000;m2;false;500;km2;false;
area;estimate_area;ostrova Manhattan v New Yorku;Manhattan (NYC);city;0,2;56;yd2;false;23;mi2;true;;;;
area;estimate_area;Velké Británie;Great Britain;;0;500000;ha;false;200000;km2;true;;;;
area;estimate_area;Velké Británie;Great Britain;;0;200000;yd2;false;80000;mi2;true;;;;
area;;;;;;;;;;;;;;;
area;;;;;;;;;;;;;;;
area;;;;;;;;;;;;;;;
area;;;;;;;;;;;;;;;
area;;;;;;;;;;;;;;;
area;;;;;;;;;;;;;;;
area;compare;Co je větší?;Which is more?;;0,2;1;km2;false;1000;ha;true;;;;
area;compare;Co je větší?;Which is more?;;0,2;1;km2;true;10;ha;false;1;mi2;false;
;;;;;;;;;;;;;;;
temperature_m;estimate_temperature;horké polévky;hot bowl of soup;;0,3;80;degC;true;200;degC;false;;;;
temperature_m;estimate_temperature;při horečce;fever;;0,5;40;degC;true;100;degC;false;;;;
temperature_m;estimate_temperature;studené sklenice vody;cold glass of water;;0,2;2;degC;true;80;degC;false;;;;
temperature_m;estimate_temperature;vařící vody;boiling water;;0,1;100;degC;true;212;degC;false;;;;
temperature_m;estimate_temperature;uvnitř domu;inside a house;;0,3;18;degC;true;80;degC;false;;;;
temperature_m;estimate_temperature;šálku horké kávy;cup of hot coffee;;0,2;150;degC;false;85;degC;true;;;;
temperature_m;estimate_temperature;plechovky s kolou;can of soda;;0,2;4;degC;true;20;degC;false;;;;
temperature_m;estimate_temperature;uvnitř lednice;inside refrigerator;;0,1;4;degC;true;80;degC;false;;;;
temperature_m;estimate_temperature;venku ve slunečný den;outside in a sunny day;;0,4;21;degC;true;90;degC;false;;;;
temperature_m;estimate_temperature;bežná tělesná  teplota;ordinary body temperature;;0,3;37;degC;true;60;degC;false;;;;
temperature_m;estimate_temperature;šálku horkého kakaa;cup of hot cocoa;;0,4;200;degC;false;60;degC;true;;;;
temperature_m;estimate_temperature;bodu mrazu;freezing point of water;;0;0;degC;true;32;degC;false;;;;*
temperature_i;estimate_temperature;horké polévky;hot bowl of soup;;0,3;176;degF;true;80;degF;false;;;;
temperature_i;estimate_temperature;při horečce;fever;;0,5;104;degF;true;80;degF;false;;;;
temperature_i;estimate_temperature;studené sklenice vody;cold glass of water;;0,2;36;degF;true;176;degF;false;;;;
temperature_i;estimate_temperature;vařící vody;boiling water;;0,1;212;degF;true;0;degF;false;;;;
temperature_i;estimate_temperature;uvnitř domu;inside a house;;0,3;65;degF;true;176;degF;false;;;;
temperature_i;estimate_temperature;šálku horké kávy;cup of hot coffee;;0,2;85;degF;false;185;degF;true;;;;
temperature_i;estimate_temperature;plechovky s kolou;can of soda;;0,2;40;degF;true;90;degF;false;;;;
temperature_i;estimate_temperature;uvnitř lednice;inside refrigerator;;0,1;40;degF;true;80;degF;false;;;;
temperature_i;estimate_temperature;venku ve slunečný den;outside in a sunny day;;0,4;70;degF;true;30;degF;false;;;;
temperature_i;estimate_temperature;bežná tělesná  teplota;ordinary body temperature;;0,3;98,6;degF;true;132,3;degF;false;;;;
temperature_i;estimate_temperature;šálku horkého kakaa;cup of hot cocoa;;0,4;70;degF;false;140;degF;true;;;;
temperature_i;estimate_temperature;bodu mrazu;freezing point of water;;0;32;degF;true;0;degF;false;;;;
;;;;;;;;;;;;;;;
